campaign_id,campaign_name,platform,content_type,post_date,post_hour,reach,impressions,clicks,likes,comments,shares,spend_usd
C008,New Year Promo,Twitter,Story,05-08-2025,15,4049,5212,26.0,95,13.0,15,79.7
C004,Holiday Promo,Twitter,Image,03-17-2025,19,4691,6840,92.0,91,13.0,19,149.24
C001,Summer Sale,Twitter,Carousel,04/07/2025,6,3166,4877,133.0,34,3.0,2,42.49
C005,Customer Spotlight,TikTok,Image,2025-06-30,21,11894,16301,641.0,252,39.0,65,215.64
C008,New Year Promo,TikTok,Image,02-01-2025,22,9131,11202,110.0,86,12.0,20,401.73
C005,Customer Spotlight,LinkedIn,Text Post,05-08-2025,8,1426,1710,28.0,26,2.0,2,325.71
C008,New Year Promo,Instagram,Carousel,06-15-2025,7,2001,2237,63.0,38,5.0,7,311.79
C003,Brand Awareness,Facebook,Image,06-09-2025,21,8707,15344,,142,24.0,24,94.95
C005,Customer Spotlight,LinkedIn,Image,03/07/2025,18,2818,4730,173.0,65,7.0,4,63.82
C002,Product Launch,LinkedIn,Video,25/02/2025,18,2737,4280,233.0,78,11.0,8,392.06
C002,Product Launch,Twitter,Story,02-05-2025,7,4484,5876,35.0,52,9.0,10,153.75
C006,Flash Sale,Twitter,Text Post,02-28-2025,8,2169,3591,15.0,12,1.0,2,298.39
C007,Influencer Collab,TikTok,Text Post,03-16-2025,13,14413,21985,,118,21.0,30,329.52
C005,Customer Spotlight,Facebook,Story,2025-05-25,17,7684,8598,66.0,84,15.0,6,403.96
C002,Product Launch,Instagram,Text Post,06-08-2025,12,11409,18108,258.0,84,,9,304.61
C005,Customer Spotlight,Instagram,Video,04-01-2025,21,8053,12677,695.0,191,32.0,32,80.26
C001,Summer Sale,Twitter,Video,2025-05-26,10,3701,6252,210.0,153,23.0,15,492.64
C005,Customer Spotlight,TikTok,Carousel,03-22-2025,17,11944,14055,372.0,316,61.0,29,92.02
C006,Flash Sale,TikTok,Video,03-01-2025,13,10938,17142,261.0,153,20.0,29,373.7
C003,Brand Awareness,Twitter,Video,03-01-2025,19,2196,3849,200.0,97,16.0,15,353.41
C005,Customer Spotlight,TikTok,Carousel,01-12-2025,6,12961,19772,119.0,266,50.0,60,325.47
C004,Holiday Promo,TikTok,Video,13/05/2025,13,21792,38522,1077.0,958,73.0,269,483.99
C002,Product Launch,Instagram,Story,07-11-2025,9,9144,11650,65.0,211,19.0,21,373.47
C004,Holiday Promo,TikTok,Carousel,2025-07-10,17,8053,11091,240.0,321,45.0,40,129.09
C007,Influencer Collab,Instagram,Video,06-19-2025,10,9975,13390,,249,,27,87.61
C006,Flash Sale,LinkedIn,Text Post,06-25-2025,7,3336,3810,27.0,51,4.0,9,277.2
C002,Product Launch,TikTok,Video,05-06-2025,16,16387,25998,568.0,733,72.0,77,68.5
C004,Holiday Promo,Instagram,Image,03-09-2025,11,6630,9985,360.0,70,6.0,6,478.71
C007,Influencer Collab,TikTok,Carousel,07-16-2025,20,13736,22252,994.0,458,37.0,68,300.54
C005,Customer Spotlight,LinkedIn,Text Post,05-04-2025,9,3947,6631,30.0,19,1.0,1,354.22
C002,Product Launch,Instagram,Story,02-18-2025,12,7733,12599,149.0,121,21.0,31,211.67
C007,Influencer Collab,LinkedIn,Carousel,07-20-2025,8,2977,3789,117.0,110,16.0,16,98.49
C005,Customer Spotlight,Facebook,Carousel,2025-03-24,8,4308,6670,74.0,183,,37,446.56
C008,New Year Promo,Instagram,Story,2025-02-10,21,8686,13538,171.0,154,22.0,26,367.24
C002,Product Launch,Facebook,Image,03/05/2025,20,4705,7377,,117,19.0,9,458.38
C003,Brand Awareness,Instagram,Image,28/05/2025,15,8562,14687,582.0,283,45.0,30,131.2
C002,Product Launch,TikTok,Text Post,01-20-2025,7,15116,19589,231.0,326,46.0,61,138.91
C002,Product Launch,TikTok,Video,25/06/2025,8,14085,18694,551.0,541,68.0,85,396.81
C003,Brand Awareness,Twitter,Story,2025-07-07,12,4156,6440,107.0,29,5.0,5,328.78
C002,Product Launch,Twitter,Carousel,2025-07-29,10,2262,3775,35.0,103,16.0,13,393.03
C008,New Year Promo,Instagram,Carousel,07-13-2025,23,9663,12607,,194,25.0,40,255.73
C008,New Year Promo,Twitter,Image,01-09-2025,17,4897,8404,158.0,158,24.0,17,38.94
C002,Product Launch,Facebook,Video,06-27-2025,20,2926,4513,93.0,50,9.0,4,152.63
C003,Brand Awareness,Instagram,Story,02-04-2025,20,9250,13888,254.0,334,,92,426.55
C008,New Year Promo,TikTok,Story,04-01-2025,7,11147,12553,360.0,289,,55,123.59
C003,Brand Awareness,Twitter,Image,01-24-2025,11,4220,7016,101.0,95,8.0,22,258.41
C007,Influencer Collab,TikTok,Text Post,04-12-2025,19,13858,21196,244.0,78,6.0,12,51.68
C002,Product Launch,Twitter,Story,2025-06-05,15,3704,5338,109.0,95,13.0,19,324.37
C003,Brand Awareness,Instagram,Text Post,2025-03-22,12,5405,9442,195.0,124,15.0,28,173.17
C001,Summer Sale,Instagram,Text Post,04-23-2025,19,8458,13044,68.0,75,10.0,17,385.29
C007,Influencer Collab,Instagram,Carousel,25/05/2025,17,6309,9546,,113,14.0,20,161.34
C004,Holiday Promo,LinkedIn,Story,01/02/2025,10,3541,4927,95.0,105,9.0,20,442.48
C001,Summer Sale,Facebook,Image,05-16-2025,9,4045,6851,230.0,71,8.0,17,107.17
C005,Customer Spotlight,Instagram,Image,06-05-2025,9,11051,13537,409.0,258,23.0,34,430.73
C005,Customer Spotlight,TikTok,Story,2025-02-11,23,12330,21396,148.0,151,27.0,18,159.08
C004,Holiday Promo,Instagram,Carousel,04-09-2025,6,7749,12833,358.0,75,15.0,18,50.55
C001,Summer Sale,Facebook,Text Post,05-26-2025,8,7529,9217,99.0,137,26.0,20,392.68
C006,Flash Sale,Facebook,Video,01-07-2025,13,10487,17536,801.0,287,50.0,63,166.25
C006,Flash Sale,Twitter,Carousel,04-28-2025,14,5209,9078,,61,6.0,4,104.11
C008,New Year Promo,Facebook,Story,01-22-2025,23,7260,11903,311.0,57,11.0,11,228.72
C003,Brand Awareness,Instagram,Carousel,04-27-2025,22,6640,8114,164.0,203,43.0,21,74.47
C008,New Year Promo,Twitter,Video,05-02-2025,19,4906,6038,76.0,107,15.0,13,313.1
C002,Product Launch,TikTok,Video,03-06-2025,18,11875,16257,185.0,517,116.0,134,220.44
C001,Summer Sale,TikTok,Carousel,06-17-2025,9,13969,15531,104.0,520,42.0,61,160.79
C007,Influencer Collab,Instagram,Carousel,2025-05-12,9,8051,13777,88.0,257,22.0,40,138.41
C008,New Year Promo,LinkedIn,Video,22/02/2025,17,5358,8250,274.0,183,14.0,44,421.34
C001,Summer Sale,Instagram,Image,02-21-2025,16,10287,16528,164.0,119,8.0,19,25.62
C004,Holiday Promo,LinkedIn,Carousel,03-11-2025,9,3972,4478,199.0,143,12.0,24,36.29
C008,New Year Promo,Twitter,Text Post,02-03-2025,13,5264,7638,165.0,96,15.0,22,182.24
C001,Summer Sale,Instagram,Image,06-30-2025,18,10987,14598,125.0,186,38.0,48,208.51
C007,Influencer Collab,Instagram,Image,2025-07-27,16,6558,10354,381.0,113,18.0,9,144.21
C001,Summer Sale,Twitter,Carousel,04-30-2025,9,4361,7020,68.0,93,14.0,16,420.95
C008,New Year Promo,Facebook,Image,05-10-2025,13,4780,5298,91.0,172,19.0,21,391.83
C003,Brand Awareness,Twitter,Image,16/04/2025,11,4094,4622,177.0,52,9.0,3,326.78
C007,Influencer Collab,LinkedIn,Video,03-06-2025,22,2910,3669,181.0,45,8.0,7,247.14
C004,Holiday Promo,Instagram,Text Post,01-08-2025,18,5492,7730,55.0,89,8.0,7,445.72
C001,Summer Sale,TikTok,Story,03-21-2025,7,13857,21588,510.0,159,21.0,43,187.76
C008,New Year Promo,Instagram,Story,02-15-2025,11,9598,12399,437.0,233,30.0,36,431.14
C008,New Year Promo,Twitter,Story,2025-04-03,7,4548,6965,181.0,119,10.0,11,226.55
C004,Holiday Promo,Twitter,Carousel,06-14-2025,19,3508,4536,74.0,98,21.0,8,375.63
C005,Customer Spotlight,LinkedIn,Text Post,05-08-2025,8,1426,1710,28.0,26,2.0,2,325.71
C003,Brand Awareness,TikTok,Image,05-08-2025,18,13510,21689,636.0,573,71.0,89,21.54
C006,Flash Sale,Facebook,Carousel,04-04-2025,12,7462,12842,379.0,161,31.0,42,390.06
C007,Influencer Collab,Facebook,Carousel,07-03-2025,6,5850,6585,181.0,67,13.0,13,160.87
C006,Flash Sale,TikTok,Carousel,06-02-2025,19,11800,14044,,134,13.0,31,185.92
C003,Brand Awareness,TikTok,Text Post,04-23-2025,17,12441,15469,192.0,261,46.0,28,492.8
C003,Brand Awareness,Instagram,Image,05-19-2025,13,6897,8786,313.0,166,29.0,45,184.2
C008,New Year Promo,LinkedIn,Image,03-18-2025,16,3617,4872,157.0,130,23.0,18,248.64
C002,Product Launch,LinkedIn,Story,2025-01-10,9,2498,3787,65.0,53,4.0,10,225.54
C007,Influencer Collab,Instagram,Carousel,07-01-2025,16,5968,7408,181.0,96,14.0,9,315.34
C007,Influencer Collab,LinkedIn,Video,04-05-2025,15,2760,3416,119.0,148,22.0,36,144.58
C003,Brand Awareness,Twitter,Text Post,2025-04-17,18,4102,7084,139.0,40,5.0,3,53.14
C005,Customer Spotlight,Twitter,Story,05-06-2025,7,3755,5494,177.0,32,3.0,5,332.42
C002,Product Launch,instagram,Text Post,04/03/2025,12,4896,6609,64.0,89,15.0,11,427.06
C008,New Year Promo,LinkedIn,Carousel,03-01-2025,8,3301,4776,199.0,33,6.0,3,257.67
C003,Brand Awareness,Facebook,Image,05/05/2025,10,6349,7816,125.0,214,29.0,44,246.16
C008,New Year Promo,Facebook,Carousel,04-19-2025,13,6908,9576,344.0,88,10.0,18,336.89
C003,Brand Awareness,Facebook,Carousel,2025-02-25,6,5443,7359,166.0,69,9.0,8,234.66
C004,Holiday Promo,LinkedIn,Video,12/04/2025,8,2667,4078,68.0,85,16.0,8,441.19
C006,Flash Sale,TikTok,Story,07-10-2025,11,14856,20201,197.0,337,54.0,48,226.65
C007,Influencer Collab,LinkedIn,Text Post,11/07/2025,17,2613,3626,70.0,53,5.0,5,151.91
C003,Brand Awareness,Instagram,Text Post,2025-03-29,7,10169,14454,93.0,55,5.0,6,178.5
C007,Influencer Collab,TikTok,Image,04-03-2025,11,10690,13769,471.0,245,25.0,24,492.51
C005,Customer Spotlight,Facebook,Video,07-07-2025,16,10123,16555,274.0,448,87.0,31,23.63
C008,New Year Promo,Facebook,Carousel,21/05/2025,21,5927,6786,170.0,154,30.0,22,25.58
C003,Brand Awareness,Instagram,Text Post,2025-01-15,15,6154,10230,133.0,118,24.0,17,128.49
C006,Flash Sale,LinkedIn,Text Post,02-10-2025,12,2035,2801,30.0,30,6.0,4,47.88
C007,Influencer Collab,TikTok,Carousel,12/06/2025,9,16491,28099,885.0,228,19.0,54,282.41
C001,Summer Sale,Twitter,Text Post,15/01/2025,16,6559,11537,51.0,79,14.0,7,68.37
C003,Brand Awareness,LinkedIn,Image,01-05-2025,23,3900,5500,73.0,97,14.0,20,265.93
C001,Summer Sale,Twitter,Carousel,03-30-2025,20,4886,5677,98.0,63,8.0,11,417.79
C008,New Year Promo,Facebook,Video,05-09-2025,9,6785,9659,310.0,183,26.0,14,407.07
C003,Brand Awareness,LinkedIn,Image,05-13-2025,10,2722,3948,75.0,84,6.0,6,161.74
C007,Influencer Collab,Twitter,Carousel,03-18-2025,16,4256,5305,,88,14.0,13,378.79
C005,Customer Spotlight,Instagram,Video,2025-06-13,13,9192,14821,732.0,275,28.0,25,308.54
C003,Brand Awareness,TikTok,Video,07/04/2025,17,7544,11141,507.0,147,30.0,32,238.09
C005,Customer Spotlight,TikTok,Carousel,02-19-2025,8,14323,22814,702.0,199,16.0,32,208.28
C006,Flash Sale,Twitter,Story,06-22-2025,21,5407,7427,214.0,154,,23,82.82
C007,Influencer Collab,Twitter,Image,2025-02-06,15,5170,7550,273.0,52,4.0,6,135.94
C005,Customer Spotlight,Instagram,Carousel,04/07/2025,17,9103,13277,119.0,247,23.0,63,54.2
C005,Customer Spotlight,LinkedIn,Story,04-10-2025,19,2603,3545,34.0,74,14.0,15,53.87
C003,Brand Awareness,TikTok,Video,01-23-2025,10,16362,28375,598.0,176,13.0,31,167.25
C001,Summer Sale,Twitter,Story,07-18-2025,10,4319,7530,126.0,117,24.0,20,382.05
C004,Holiday Promo,Instagram,Story,11/05/2025,14,7849,12301,163.0,76,6.0,8,104.97
C001,Summer Sale,Twitter,Text Post,02-11-2025,16,2522,3891,84.0,23,4.0,6,394.34
C008,New Year Promo,LinkedIn,Video,22/02/2025,17,5358,8250,274.0,183,14.0,44,421.34
C008,New Year Promo,Facebook,Carousel,03-11-2025,15,6506,8326,158.0,110,21.0,21,312.96
C005,Customer Spotlight,Facebook,Carousel,02-19-2025,13,5267,9297,352.0,144,22.0,26,155.6
C001,Summer Sale,TikTok,Video,2025-01-21,17,8016,13856,480.0,169,14.0,32,51.54
C007,Influencer Collab,LinkedIn,Story,05-16-2025,9,3153,4408,70.0,33,4.0,3,218.78
C004,Holiday Promo,LinkedIn,Carousel,28/04/2025,13,1987,3370,39.0,54,10.0,8,33.82
C008,New Year Promo,instagram,Video,05-26-2025,8,8557,10375,434.0,282,44.0,32,133.88
C004,Holiday Promo,TikTok,Story,25/02/2025,17,4822,6428,176.0,165,24.0,27,243.3
C003,Brand Awareness,LinkedIn,Text Post,04-30-2025,8,2064,2526,33.0,35,6.0,7,316.57
